1.0.0.230#哥斯达黎加-圣荷西 558ms
104.18.143.236#哥斯达黎加-圣荷西 430ms
104.18.47.99#哥斯达黎加-圣荷西 878ms
104.18.80.91#哥斯达黎加-圣荷西 807ms
104.18.166.185#哥斯达黎加-圣荷西 441ms
104.18.110.106#哥斯达黎加-圣荷西 795ms
104.18.64.176#哥斯达黎加-圣荷西 842ms
104.18.103.206#哥斯达黎加-圣荷西 806ms
104.18.104.180#哥斯达黎加-圣荷西 836ms
104.18.77.56#哥斯达黎加-圣荷西 844ms
104.18.70.174#哥斯达黎加-圣荷西 841ms
104.18.76.114#哥斯达黎加-圣荷西 844ms
104.18.136.160#哥斯达黎加-圣荷西 666ms
104.18.95.209#哥斯达黎加-圣荷西 824ms
104.18.148.68#哥斯达黎加-圣荷西 481ms
104.18.85.46#哥斯达黎加-圣荷西 864ms
104.18.131.232#哥斯达黎加-圣荷西 782ms
104.18.86.176#哥斯达黎加-圣荷西 831ms
104.18.83.89#哥斯达黎加-圣荷西 890ms
104.18.90.223#哥斯达黎加-圣荷西 857ms
104.18.91.29#哥斯达黎加-圣荷西 850ms
104.18.89.159#哥斯达黎加-圣荷西 863ms
104.18.167.42#哥斯达黎加-圣荷西 624ms
104.18.84.95#哥斯达黎加-圣荷西 898ms
104.18.101.52#哥斯达黎加-圣荷西 841ms
104.18.133.16#哥斯达黎加-圣荷西 748ms
104.18.157.121#哥斯达黎加-圣荷西 737ms
104.18.146.193#哥斯达黎加-圣荷西 770ms
104.18.170.98#哥斯达黎加-圣荷西 440ms
104.18.92.112#哥斯达黎加-圣荷西 898ms
104.18.175.13#哥斯达黎加-圣荷西 571ms
104.18.164.142#哥斯达黎加-圣荷西 710ms
104.18.159.213#哥斯达黎加-圣荷西 750ms
104.18.107.220#哥斯达黎加-圣荷西 897ms
104.18.102.75#哥斯达黎加-圣荷西 907ms
104.18.150.148#哥斯达黎加-圣荷西 659ms
104.18.145.22#哥斯达黎加-圣荷西 749ms
104.18.130.51#哥斯达黎加-圣荷西 792ms
104.18.151.187#哥斯达黎加-圣荷西 678ms
104.18.171.118#哥斯达黎加-圣荷西 681ms
104.18.161.15#哥斯达黎加-圣荷西 525ms
104.18.128.206#哥斯达黎加-圣荷西 852ms
104.18.156.251#哥斯达黎加-圣荷西 737ms
104.18.172.239#哥斯达黎加-圣荷西 675ms
104.18.173.144#哥斯达黎加-圣荷西 657ms
104.18.196.0#哥斯达黎加-圣荷西 378ms
104.18.178.62#哥斯达黎加-圣荷西 599ms
104.18.160.94#哥斯达黎加-圣荷西 774ms
104.18.180.194#哥斯达黎加-圣荷西 596ms
104.18.158.163#哥斯达黎加-圣荷西 774ms
104.18.138.133#哥斯达黎加-圣荷西 820ms
104.18.137.208#哥斯达黎加-圣荷西 833ms
104.18.155.251#哥斯达黎加-圣荷西 800ms
104.18.140.116#哥斯达黎加-圣荷西 859ms
104.18.141.218#哥斯达黎加-圣荷西 859ms
104.19.0.38#哥斯达黎加-圣荷西 141ms
104.19.2.16#哥斯达黎加-圣荷西 138ms
104.18.163.222#哥斯达黎加-圣荷西 786ms
104.18.154.186#哥斯达黎加-圣荷西 875ms
104.18.192.192#哥斯达黎加-圣荷西 415ms
104.19.1.140#哥斯达黎加-圣荷西 162ms
104.18.147.45#哥斯达黎加-圣荷西 911ms
104.19.4.72#哥斯达黎加-圣荷西 137ms
104.18.149.52#哥斯达黎加-圣荷西 904ms
104.18.179.10#哥斯达黎加-圣荷西 704ms
104.19.3.231#哥斯达黎加-圣荷西 162ms
104.19.5.129#哥斯达黎加-圣荷西 162ms
104.19.8.92#哥斯达黎加-圣荷西 152ms
104.18.152.12#哥斯达黎加-圣荷西 922ms
104.18.204.211#哥斯达黎加-圣荷西 406ms
104.19.7.169#哥斯达黎加-圣荷西 152ms
104.18.169.70#哥斯达黎加-圣荷西 872ms
104.19.6.173#哥斯达黎加-圣荷西 185ms
104.18.162.200#哥斯达黎加-圣荷西 894ms
104.19.9.41#哥斯达黎加-圣荷西 140ms
104.18.165.69#哥斯达黎加-圣荷西 872ms
104.18.187.207#哥斯达黎加-圣荷西 610ms
104.18.233.161#哥斯达黎加-圣荷西 329ms
104.18.186.29#哥斯达黎加-圣荷西 670ms
104.18.185.85#哥斯达黎加-圣荷西 805ms
104.19.11.175#哥斯达黎加-圣荷西 134ms
104.18.208.198#哥斯达黎加-圣荷西 470ms
104.19.10.19#哥斯达黎加-圣荷西 184ms
104.18.190.87#哥斯达黎加-圣荷西 669ms
104.18.191.14#哥斯达黎加-圣荷西 676ms
104.19.15.146#哥斯达黎加-圣荷西 144ms
104.19.13.11#哥斯达黎加-圣荷西 161ms
104.18.215.94#哥斯达黎加-圣荷西 493ms
104.18.218.205#哥斯达黎加-圣荷西 467ms
104.19.12.75#哥斯达黎加-圣荷西 173ms
104.19.22.37#哥斯达黎加-圣荷西 136ms
104.19.14.153#哥斯达黎加-圣荷西 182ms
104.18.199.104#哥斯达黎加-圣荷西 614ms
104.19.19.5#哥斯达黎加-圣荷西 161ms
104.18.198.61#哥斯达黎加-圣荷西 627ms
104.18.202.15#哥斯达黎加-圣荷西 493ms
104.18.219.178#哥斯达黎加-圣荷西 492ms
104.18.189.72#哥斯达黎加-圣荷西 673ms
104.18.177.32#哥斯达黎加-圣荷西 759ms
104.19.20.93#哥斯达黎加-圣荷西 160ms
104.19.24.169#哥斯达黎加-圣荷西 159ms
104.19.23.48#哥斯达黎加-圣荷西 164ms
104.19.21.143#哥斯达黎加-圣荷西 173ms
104.18.174.28#哥斯达黎加-圣荷西 886ms
104.19.30.223#哥斯达黎加-圣荷西 150ms
104.19.27.105#哥斯达黎加-圣荷西 156ms
104.18.206.28#哥斯达黎加-圣荷西 628ms
104.19.25.25#哥斯达黎加-圣荷西 173ms
104.18.211.210#哥斯达黎加-圣荷西 644ms
104.19.32.119#哥斯达黎加-圣荷西 159ms
104.19.29.216#哥斯达黎加-圣荷西 161ms
104.19.26.196#哥斯达黎加-圣荷西 167ms
104.19.34.61#哥斯达黎加-圣荷西 161ms
104.19.31.94#哥斯达黎加-圣荷西 172ms
104.18.181.69#哥斯达黎加-圣荷西 865ms
104.19.33.169#哥斯达黎加-圣荷西 174ms
104.19.38.141#哥斯达黎加-圣荷西 162ms
104.19.36.26#哥斯达黎加-圣荷西 163ms
104.18.212.174#哥斯达黎加-圣荷西 685ms
104.18.197.93#哥斯达黎加-圣荷西 868ms
104.18.182.44#哥斯达黎加-圣荷西 900ms
104.19.37.181#哥斯达黎加-圣荷西 182ms
104.18.200.52#哥斯达黎加-圣荷西 869ms
104.18.225.89#哥斯达黎加-圣荷西 511ms
104.19.42.16#哥斯达黎加-圣荷西 163ms
104.18.214.165#哥斯达黎加-圣荷西 809ms
104.19.44.163#哥斯达黎加-圣荷西 152ms
104.19.40.209#哥斯达黎加-圣荷西 175ms
104.19.43.216#哥斯达黎加-圣荷西 171ms
104.18.228.82#哥斯达黎加-圣荷西 563ms
104.18.227.115#哥斯达黎加-圣荷西 625ms
104.19.45.251#哥斯达黎加-圣荷西 160ms
104.18.221.84#哥斯达黎加-圣荷西 791ms
104.18.183.250#哥斯达黎加-圣荷西 939ms
104.18.210.99#哥斯达黎加-圣荷西 804ms
104.19.47.120#哥斯达黎加-圣荷西 167ms
104.19.48.89#哥斯达黎加-圣荷西 155ms
104.19.28.212#哥斯达黎加-圣荷西 153ms
104.18.217.7#哥斯达黎加-圣荷西 679ms
104.19.58.230#哥斯达黎加-圣荷西 131ms
104.19.49.194#哥斯达黎加-圣荷西 164ms
104.19.54.202#哥斯达黎加-圣荷西 138ms
104.18.224.141#哥斯达黎加-圣荷西 776ms
104.18.194.99#哥斯达黎加-圣荷西 848ms
104.19.50.68#哥斯达黎加-圣荷西 173ms
104.19.68.177#哥斯达黎加-圣荷西 134ms
104.19.52.242#哥斯达黎加-圣荷西 173ms
104.19.55.53#哥斯达黎加-圣荷西 164ms
104.19.65.218#哥斯达黎加-圣荷西 148ms
104.19.57.130#哥斯达黎加-圣荷西 162ms
104.19.61.156#哥斯达黎加-圣荷西 161ms
104.18.205.29#哥斯达黎加-圣荷西 827ms
104.19.67.98#哥斯达黎加-圣荷西 155ms
104.19.51.88#哥斯达黎加-圣荷西 192ms
104.19.69.63#哥斯达黎加-圣荷西 152ms
104.18.209.156#哥斯达黎加-圣荷西 845ms
104.19.63.229#哥斯达黎加-圣荷西 174ms
104.19.60.97#哥斯达黎加-圣荷西 183ms
104.19.73.183#哥斯达黎加-圣荷西 137ms
104.18.207.120#哥斯达黎加-圣荷西 851ms
104.19.53.130#哥斯达黎加-圣荷西 190ms
104.19.77.110#哥斯达黎加-圣荷西 148ms
104.19.64.228#哥斯达黎加-圣荷西 187ms
104.18.223.11#哥斯达黎加-圣荷西 776ms
104.19.66.207#哥斯达黎加-圣荷西 182ms
104.19.70.188#哥斯达黎加-圣荷西 169ms
104.19.72.11#哥斯达黎加-圣荷西 161ms
104.19.78.216#哥斯达黎加-圣荷西 155ms
104.18.239.32#哥斯达黎加-圣荷西 525ms
104.19.74.42#哥斯达黎加-圣荷西 157ms
104.19.71.46#哥斯达黎加-圣荷西 179ms
104.19.75.3#哥斯达黎加-圣荷西 163ms
104.18.222.195#哥斯达黎加-圣荷西 801ms
104.19.79.215#哥斯达黎加-圣荷西 164ms
104.19.85.111#哥斯达黎加-圣荷西 153ms
104.18.244.140#哥斯达黎加-圣荷西 745ms
104.18.243.27#哥斯达黎加-圣荷西 599ms
104.19.80.78#哥斯达黎加-圣荷西 173ms
104.19.83.211#哥斯达黎加-圣荷西 162ms
104.19.82.210#哥斯达黎加-圣荷西 174ms
104.18.242.208#哥斯达黎加-圣荷西 537ms
104.19.86.165#哥斯达黎加-圣荷西 157ms
104.19.90.49#哥斯达黎加-圣荷西 145ms
104.19.46.90#哥斯达黎加-圣荷西 182ms
104.19.92.51#哥斯达黎加-圣荷西 154ms
104.19.81.150#哥斯达黎加-圣荷西 195ms
104.19.87.231#哥斯达黎加-圣荷西 166ms
104.19.89.72#哥斯达黎加-圣荷西 166ms
104.18.195.250#哥斯达黎加-圣荷西 901ms
104.19.101.185#哥斯达黎加-圣荷西 135ms
104.19.94.142#哥斯达黎加-圣荷西 153ms
104.19.99.211#哥斯达黎加-圣荷西 145ms
104.19.91.17#哥斯达黎加-圣荷西 165ms
104.19.93.54#哥斯达黎加-圣荷西 166ms
104.19.84.46#哥斯达黎加-圣荷西 192ms
104.19.98.147#哥斯达黎加-圣荷西 154ms
104.18.249.158#哥斯达黎加-圣荷西 600ms
104.19.102.71#哥斯达黎加-圣荷西 154ms
104.19.110.1#哥斯达黎加-圣荷西 134ms
104.19.96.8#哥斯达黎加-圣荷西 167ms
104.19.105.7#哥斯达黎加-圣荷西 155ms
104.18.248.134#哥斯达黎加-圣荷西 628ms
104.19.112.196#哥斯达黎加-圣荷西 138ms
104.19.107.60#哥斯达黎加-圣荷西 143ms
104.19.100.190#哥斯达黎加-圣荷西 170ms
104.19.103.128#哥斯达黎加-圣荷西 162ms
104.19.104.244#哥斯达黎加-圣荷西 170ms
104.18.238.251#哥斯达黎加-圣荷西 788ms
104.19.122.140#哥斯达黎加-圣荷西 146ms
104.19.109.155#哥斯达黎加-圣荷西 172ms
104.19.106.198#哥斯达黎加-圣荷西 160ms
104.19.108.19#哥斯达黎加-圣荷西 595ms
104.19.111.32#哥斯达黎加-圣荷西 172ms
104.18.245.122#哥斯达黎加-圣荷西 790ms
104.19.113.180#哥斯达黎加-圣荷西 172ms
104.19.120.125#哥斯达黎加-圣荷西 159ms
104.19.116.189#哥斯达黎加-圣荷西 172ms
104.19.119.155#哥斯达黎加-圣荷西 159ms
104.19.126.60#哥斯达黎加-圣荷西 152ms
104.19.125.100#哥斯达黎加-圣荷西 156ms
104.19.118.0#哥斯达黎加-圣荷西 160ms
104.19.123.27#哥斯达黎加-圣荷西 165ms
104.19.127.198#哥斯达黎加-圣荷西 164ms
104.18.255.73#哥斯达黎加-圣荷西 626ms
104.19.117.13#哥斯达黎加-圣荷西 174ms
104.18.220.99#哥斯达黎加-圣荷西 877ms
104.19.114.108#哥斯达黎加-圣荷西 194ms
104.19.128.33#美国-洛杉矶 161ms
104.18.251.24#哥斯达黎加-圣荷西 789ms
104.19.132.235#美国-洛杉矶 160ms
104.19.131.157#美国-洛杉矶 162ms
104.18.252.220#哥斯达黎加-圣荷西 699ms
104.19.133.187#美国-洛杉矶 160ms
104.19.136.202#美国-洛杉矶 163ms
104.19.134.103#美国-洛杉矶 175ms
104.19.139.75#美国-洛杉矶 161ms
104.19.138.111#美国-洛杉矶 161ms
104.19.142.127#美国-洛杉矶 160ms
104.19.137.11#美国-洛杉矶 182ms
104.19.141.223#美国-洛杉矶 172ms
104.18.253.119#美国-洛杉矶 172ms
104.19.148.193#哥斯达黎加-圣荷西 156ms
104.18.235.232#哥斯达黎加-圣荷西 872ms
104.18.230.164#哥斯达黎加-圣荷西 893ms
104.18.231.53#哥斯达黎加-圣荷西 933ms
104.18.232.80#哥斯达黎加-圣荷西 909ms
104.18.246.215#哥斯达黎加-圣荷西 794ms
104.19.173.104#哥斯达黎加-圣荷西 188ms
104.18.236.160#哥斯达黎加-圣荷西 925ms
104.18.234.216#哥斯达黎加-圣荷西 936ms
104.18.247.209#哥斯达黎加-圣荷西 815ms
104.18.240.164#哥斯达黎加-圣荷西 912ms
104.18.237.72#哥斯达黎加-圣荷西 929ms
104.18.241.165#哥斯达黎加-圣荷西 934ms
104.19.241.181#美国-洛杉矶 142ms
104.19.240.2#美国-洛杉矶 162ms
104.19.242.189#美国-洛杉矶 170ms
104.19.244.87#美国-洛杉矶 162ms
104.19.243.20#美国-洛杉矶 177ms
104.19.245.248#美国-洛杉矶 166ms
104.19.246.215#美国-洛杉矶 159ms
104.19.247.141#美国-洛杉矶 162ms
104.19.153.207#哥斯达黎加-圣荷西 531ms
104.19.163.102#哥斯达黎加-圣荷西 631ms
104.19.248.26#美国-洛杉矶 154ms
104.19.249.213#美国-洛杉矶 158ms
104.19.250.32#美国-洛杉矶 155ms
104.19.213.112#哥斯达黎加-圣荷西 609ms
104.19.214.58#哥斯达黎加-圣荷西 614ms
104.19.165.132#哥斯达黎加-圣荷西 544ms
104.19.158.25#哥斯达黎加-圣荷西 796ms
104.19.156.112#哥斯达黎加-圣荷西 796ms
104.19.181.197#哥斯达黎加-圣荷西 531ms
104.19.170.220#哥斯达黎加-圣荷西 628ms
104.19.152.188#哥斯达黎加-圣荷西 708ms
104.19.251.202#美国-洛杉矶 164ms
104.19.253.214#美国-洛杉矶 155ms
104.19.157.109#哥斯达黎加-圣荷西 673ms
104.19.174.148#哥斯达黎加-圣荷西 687ms
104.19.252.100#美国-洛杉矶 161ms
104.19.201.44#哥斯达黎加-圣荷西 760ms
104.19.187.124#哥斯达黎加-圣荷西 658ms
104.19.145.117#哥斯达黎加-圣荷西 584ms
104.19.208.160#哥斯达黎加-圣荷西 511ms
104.19.202.2#哥斯达黎加-圣荷西 525ms
104.19.238.121#哥斯达黎加-圣荷西 573ms
104.19.162.159#哥斯达黎加-圣荷西 720ms
104.19.255.12#美国-洛杉矶 172ms
104.19.147.114#哥斯达黎加-圣荷西 741ms
104.19.144.72#哥斯达黎加-圣荷西 751ms
104.19.177.225#哥斯达黎加-圣荷西 720ms
104.19.182.11#哥斯达黎加-圣荷西 696ms
104.19.205.44#哥斯达黎加-圣荷西 659ms
104.19.195.149#哥斯达黎加-圣荷西 727ms
104.19.168.177#哥斯达黎加-圣荷西 775ms
104.20.0.36#美国-阿什本 217ms
104.20.2.247#美国-阿什本 197ms
104.20.6.118#美国-阿什本 196ms
104.20.1.104#美国-阿什本 200ms
104.19.149.87#哥斯达黎加-圣荷西 813ms
104.19.164.102#哥斯达黎加-圣荷西 749ms
104.19.206.177#哥斯达黎加-圣荷西 701ms
104.19.228.97#哥斯达黎加-圣荷西 531ms
104.19.229.149#哥斯达黎加-圣荷西 532ms
104.19.190.141#哥斯达黎加-圣荷西 757ms
104.19.155.86#哥斯达黎加-圣荷西 846ms
104.19.196.170#哥斯达黎加-圣荷西 744ms
104.20.7.164#美国-阿什本 210ms
104.20.5.201#美国-阿什本 229ms
104.19.172.119#哥斯达黎加-圣荷西 817ms
104.19.200.66#哥斯达黎加-圣荷西 763ms
104.19.217.65#哥斯达黎加-圣荷西 700ms
104.19.207.19#哥斯达黎加-圣荷西 738ms
104.20.8.233#美国-阿什本 228ms
104.19.203.189#哥斯达黎加-圣荷西 715ms
104.19.146.5#哥斯达黎加-圣荷西 885ms
104.19.185.165#哥斯达黎加-圣荷西 666ms
104.19.210.91#哥斯达黎加-圣荷西 788ms
104.19.160.218#哥斯达黎加-圣荷西 852ms
104.19.151.93#哥斯达黎加-圣荷西 884ms
104.20.3.134#美国-阿什本 256ms
104.19.231.40#哥斯达黎加-圣荷西 723ms
104.20.9.112#美国-阿什本 228ms
104.19.204.248#哥斯达黎加-圣荷西 742ms
104.19.222.51#哥斯达黎加-圣荷西 756ms
104.19.219.73#哥斯达黎加-圣荷西 800ms
104.20.15.124#美国-阿什本 193ms
104.19.161.116#哥斯达黎加-圣荷西 883ms
104.19.227.3#哥斯达黎加-圣荷西 796ms
104.19.150.109#哥斯达黎加-圣荷西 897ms
104.20.14.176#美国-阿什本 224ms
104.19.166.39#哥斯达黎加-圣荷西 897ms
104.20.16.157#美国-阿什本 226ms
104.20.12.190#美国-阿什本 234ms
104.19.237.139#哥斯达黎加-圣荷西 690ms
104.19.232.54#哥斯达黎加-圣荷西 706ms
104.19.192.87#哥斯达黎加-圣荷西 832ms
104.20.19.158#哥斯达黎加-圣荷西 889ms
104.19.159.4#哥斯达黎加-圣荷西 213ms
104.20.10.17#美国-阿什本 270ms
104.19.230.64#哥斯达黎加-圣荷西 745ms
104.20.18.97#美国-阿什本 221ms
104.19.176.75#哥斯达黎加-圣荷西 900ms
104.20.21.159#美国-阿什本 211ms
104.20.26.86#美国-阿什本 210ms
104.20.20.86#美国-阿什本 225ms
104.20.13.9#美国-阿什本 265ms
104.19.188.211#哥斯达黎加-圣荷西 887ms
104.19.191.214#哥斯达黎加-圣荷西 880ms
104.20.27.22#美国-阿什本 215ms
104.20.31.119#美国-阿什本 200ms
104.20.28.207#美国-阿什本 228ms
104.20.30.215#美国-阿什本 211ms
104.20.29.174#美国-阿什本 218ms
104.20.23.252#美国-阿什本 232ms
104.20.25.226#美国-阿什本 232ms
104.19.183.98#哥斯达黎加-圣荷西 881ms
104.19.194.223#哥斯达黎加-圣荷西 886ms
104.20.32.216#美国-阿什本 220ms
104.19.236.254#哥斯达黎加-圣荷西 801ms
104.19.239.164#哥斯达黎加-圣荷西 721ms
104.19.224.178#哥斯达黎加-圣荷西 770ms
104.19.226.1#哥斯达黎加-圣荷西 755ms
104.20.33.74#美国-阿什本 243ms
104.19.221.112#哥斯达黎加-圣荷西 876ms
104.20.34.38#美国-阿什本 232ms
104.19.209.7#哥斯达黎加-圣荷西 920ms
104.20.35.159#美国-阿什本 221ms
104.19.220.183#哥斯达黎加-圣荷西 778ms
104.19.215.48#哥斯达黎加-圣荷西 889ms
104.20.37.208#美国-阿什本 213ms
104.20.38.184#美国-阿什本 217ms
104.20.47.7#美国-阿什本 201ms
104.20.44.31#美国-阿什本 202ms
104.20.39.251#美国-阿什本 230ms
104.20.46.72#美国-阿什本 206ms
104.20.41.162#美国-阿什本 229ms
104.19.235.32#哥斯达黎加-圣荷西 814ms
104.20.43.75#美国-阿什本 224ms
104.20.40.124#美国-阿什本 243ms
104.20.51.107#美国-阿什本 211ms
104.20.54.99#美国-阿什本 202ms
104.20.49.216#美国-阿什本 215ms
104.20.57.101#美国-阿什本 200ms
104.20.56.44#美国-阿什本 205ms
104.20.45.110#美国-阿什本 230ms
104.20.58.193#美国-阿什本 204ms
104.20.52.36#美国-阿什本 218ms
104.19.233.115#哥斯达黎加-圣荷西 890ms
104.19.225.254#哥斯达黎加-圣荷西 902ms
104.20.60.117#美国-阿什本 214ms
104.20.65.21#美国-阿什本 210ms
104.20.64.86#美国-阿什本 210ms
104.20.62.214#美国-阿什本 217ms
104.20.48.111#美国-阿什本 248ms
104.20.63.188#美国-阿什本 210ms
104.20.68.174#美国-阿什本 210ms
104.20.59.183#美国-阿什本 234ms
104.20.61.24#美国-阿什本 243ms
104.20.72.63#美国-阿什本 215ms
104.20.66.109#美国-阿什本 242ms
104.20.71.233#美国-阿什本 226ms
104.20.73.200#美国-阿什本 222ms
104.20.69.81#美国-阿什本 234ms
104.20.67.76#美国-阿什本 257ms
104.20.78.136#美国-阿什本 219ms
104.20.76.49#美国-阿什本 220ms
104.20.89.135#美国-阿什本 203ms
104.20.82.76#美国-阿什本 203ms
104.20.88.162#美国-阿什本 204ms
104.20.85.242#美国-阿什本 204ms
104.20.70.76#美国-阿什本 243ms
104.20.77.85#美国-阿什本 228ms
104.20.92.164#美国-阿什本 213ms
104.20.100.110#美国-阿什本 199ms
104.20.86.155#美国-阿什本 221ms
104.20.84.221#美国-阿什本 221ms
104.20.94.65#美国-阿什本 208ms
104.20.99.63#美国-阿什本 203ms
104.20.96.69#美国-阿什本 209ms
104.20.91.113#美国-阿什本 232ms
104.20.98.151#美国-阿什本 205ms
104.20.105.132#美国-阿什本 204ms
104.20.90.15#美国-阿什本 232ms
104.20.79.105#美国-阿什本 242ms
104.20.80.51#美国-阿什本 233ms
104.20.93.202#美国-阿什本 221ms
104.20.95.29#美国-阿什本 223ms
104.20.83.76#美国-阿什本 233ms
104.20.110.61#美国-阿什本 215ms
104.20.107.155#美国-阿什本 222ms
104.20.106.7#美国-阿什本 226ms
104.20.113.104#美国-阿什本 203ms
104.20.104.47#美国-阿什本 234ms
104.20.81.213#美国-阿什本 267ms
104.20.116.240#美国-阿什本 214ms
104.20.108.243#美国-阿什本 228ms
104.20.74.34#美国-阿什本 282ms
104.20.112.86#美国-阿什本 228ms
104.20.117.71#美国-阿什本 223ms
104.20.118.173#美国-阿什本 219ms
104.20.109.247#美国-阿什本 243ms
104.20.125.133#美国-阿什本 201ms
104.20.115.234#美国-阿什本 238ms
104.20.55.151#美国-阿什本 217ms
104.20.102.242#美国-阿什本 265ms
104.20.121.62#美国-阿什本 221ms
104.20.123.122#美国-阿什本 219ms
104.20.120.6#美国-阿什本 227ms
104.20.129.120#美国-阿什本 209ms
104.20.126.150#美国-阿什本 207ms
104.20.131.101#美国-阿什本 217ms
104.20.119.97#美国-阿什本 234ms
104.20.133.160#美国-阿什本 206ms
104.20.124.53#美国-阿什本 228ms
104.20.122.65#美国-阿什本 241ms
104.20.128.146#美国-阿什本 221ms
104.20.127.130#美国-阿什本 220ms
104.20.132.131#美国-阿什本 217ms
104.20.141.60#美国-阿什本 206ms
104.20.136.103#美国-阿什本 221ms
104.20.147.44#美国-阿什本 205ms
104.20.138.40#美国-阿什本 221ms
104.20.149.158#美国-阿什本 201ms
104.20.140.215#美国-阿什本 222ms
104.20.139.77#美国-阿什本 222ms
104.20.11.168#美国-阿什本 206ms
104.20.145.212#美国-阿什本 224ms
104.20.148.47#美国-阿什本 218ms
104.20.155.98#美国-阿什本 193ms
104.20.143.217#美国-阿什本 231ms
104.20.150.83#美国-阿什本 216ms
104.20.152.180#美国-阿什本 210ms
104.20.142.200#美国-阿什本 235ms
104.20.134.89#美国-阿什本 252ms
104.20.154.42#美国-阿什本 214ms
104.20.135.75#美国-阿什本 253ms
104.20.151.212#美国-阿什本 228ms
104.20.157.80#美国-阿什本 225ms
104.20.158.110#美国-阿什本 223ms
104.20.156.173#美国-阿什本 235ms
104.20.160.56#美国-阿什本 222ms
104.20.159.48#美国-阿什本 226ms
104.20.161.178#美国-阿什本 217ms
104.20.153.126#美国-阿什本 253ms
104.20.162.82#美国-阿什本 218ms
104.20.166.191#美国-阿什本 205ms
104.20.168.125#美国-阿什本 202ms
104.20.163.109#美国-阿什本 231ms
104.20.164.6#美国-阿什本 230ms
104.20.167.201#美国-阿什本 208ms
104.20.165.112#美国-阿什本 221ms
104.20.172.142#美国-阿什本 199ms
104.20.175.117#美国-阿什本 206ms
104.20.174.187#美国-阿什本 205ms
104.20.171.24#美国-阿什本 208ms
104.20.181.23#美国-阿什本 203ms
104.20.179.255#美国-阿什本 208ms
104.20.178.206#美国-阿什本 208ms
104.20.169.188#美国-阿什本 229ms
104.20.176.234#美国-阿什本 227ms
104.20.191.83#美国-阿什本 199ms
104.20.180.149#美国-阿什本 215ms
104.20.189.238#美国-阿什本 199ms
104.20.177.110#美国-阿什本 229ms
104.20.173.228#美国-阿什本 232ms
104.20.184.214#美国-阿什本 213ms
104.20.182.17#美国-阿什本 214ms
104.20.186.11#美国-阿什本 214ms
104.20.198.148#美国-阿什本 211ms
104.20.190.58#美国-阿什本 212ms
104.20.199.192#美国-阿什本 216ms
104.20.188.227#美国-阿什本 233ms
104.20.195.9#美国-阿什本 224ms
104.20.209.159#美国-阿什本 199ms
104.20.202.129#美国-阿什本 205ms
104.20.211.37#美国-阿什本 204ms
104.20.205.61#美国-阿什本 209ms
104.20.197.65#美国-阿什本 250ms
104.20.201.200#美国-阿什本 237ms
104.20.203.123#美国-阿什本 217ms
104.20.204.60#美国-阿什本 225ms
104.20.215.130#美国-阿什本 212ms
104.20.218.195#美国-阿什本 211ms
104.20.216.142#美国-阿什本 211ms
104.20.219.72#美国-阿什本 211ms
104.20.206.216#美国-阿什本 226ms
104.20.213.103#美国-阿什本 225ms
104.20.223.127#美国-阿什本 213ms
104.20.207.2#美国-阿什本 238ms
104.20.224.232#美国-阿什本 212ms
104.20.220.187#美国-阿什本 221ms
104.20.227.116#美国-阿什本 205ms
104.20.222.1#美国-阿什本 219ms
104.20.214.113#美国-阿什本 235ms
104.20.217.85#美国-阿什本 243ms
104.20.229.231#美国-阿什本 211ms
104.20.226.239#美国-阿什本 220ms
104.20.221.97#美国-阿什本 234ms
104.20.210.3#美国-阿什本 278ms
104.20.231.218#美国-阿什本 242ms
104.20.235.15#美国-阿什本 222ms
104.20.239.87#美国-阿什本 208ms
104.20.236.36#美国-阿什本 247ms
104.20.243.70#美国-阿什本 212ms
104.20.233.32#美国-阿什本 235ms
104.20.244.55#美国-阿什本 221ms
104.20.225.211#美国-阿什本 267ms
104.21.3.76#英国-伦敦 177ms
104.20.238.92#美国-阿什本 229ms
104.20.246.80#美国-阿什本 221ms
104.20.242.43#美国-阿什本 228ms
104.20.253.161#美国-阿什本 208ms
104.20.241.115#美国-阿什本 233ms
104.20.251.57#美国-阿什本 220ms
104.20.254.96#美国-阿什本 206ms
104.20.240.97#美国-阿什本 233ms
104.21.1.203#英国-伦敦 201ms
104.20.237.24#美国-阿什本 242ms
104.20.250.110#美国-阿什本 226ms
104.21.4.89#英国-伦敦 215ms
104.20.249.241#美国-阿什本 233ms
104.21.5.17#英国-伦敦 203ms
104.20.248.220#美国-阿什本 236ms
104.21.6.35#英国-伦敦 201ms
104.21.0.180#英国-伦敦 232ms
104.21.10.76#英国-伦敦 202ms
104.21.12.91#英国-伦敦 202ms
104.21.9.124#英国-伦敦 202ms
104.21.11.16#英国-伦敦 214ms
104.21.14.227#英国-伦敦 201ms
104.20.252.154#美国-阿什本 254ms
104.21.7.74#英国-伦敦 228ms
104.21.30.24#英国-伦敦 178ms
104.21.16.45#英国-伦敦 206ms
104.21.18.115#英国-伦敦 199ms
104.21.33.1#英国-伦敦 176ms
104.21.15.97#英国-伦敦 206ms
104.21.38.8#英国-伦敦 185ms
104.21.19.186#英国-伦敦 204ms
104.21.13.129#英国-伦敦 233ms
104.21.41.169#英国-伦敦 179ms
104.21.17.98#英国-伦敦 225ms
104.21.24.249#英国-伦敦 203ms
104.21.31.113#英国-伦敦 204ms
104.21.32.9#英国-伦敦 210ms
